Id_slike;Id_slikarja;Linki
35665;4207;http://www.wga.hu/html/zzdeco/1gold/13c/07i_1203.html
36643;4239;http://www.wga.hu/html/zzdeco/5ceramic/meissen/3meissen.html
20212;2454;http://www.wga.hu/html/m/macchiet/portrait.html
33567;4045;http://www.wga.hu/html/t/teniers/jan2/1/twelfthn.html
14447;1701;http://www.wga.hu/html/g/gogh_van/15/auvers29.html
39291;4609;http://www.wga.hu/html/z/zurbaran/2/st_james.html
6398;830;http://www.wga.hu/html/c/cezanne/1/04early.html
13443;1649;http://www.wga.hu/html/g/giotto/padova/5heads1/2head020.html
2942;409;http://www.wga.hu/html/b/bissen/istedlio.html
22363;2765;http://www.wga.hu/html/m/metsu/1/manwomax.html
2356;307;http://www.wga.hu/html/b/bellini/jacopo/y_portra.html
24518;2875;http://www.wga.hu/html/m/montanez/ignatius.html
21563;2643;http://www.wga.hu/html/m/master/codex/z_panel1.html
29978;3542;http://www.wga.hu/html/r/rodin/1gates/2thinke2.html
22428;2775;http://www.wga.hu/html/m/michel/land_fig.html
10067;1284;http://www.wga.hu/html/d/durer/1/01/10seven.html
32190;3850;http://www.wga.hu/html/s/signorel/brizio/1/2apocal3.html
3979;545;http://www.wga.hu/html/b/bouts/dirk_e/1/6coronat.html
27183;3282;http://www.wga.hu/html/p/pissarro/camille/3/winter14.html
18824;2309;http://www.wga.hu/html/l/leonardo/08heads/06head3.html
17393;2012;http://www.wga.hu/html/i/ibbetson/landscap.html
34350;4085;http://www.wga.hu/html/t/tintoret/4a/3senate4.html
36642;4239;http://www.wga.hu/html/zzdeco/5ceramic/meissen/2meissen.html
17412;2016;http://www.wga.hu/html/i/ingres/062ingre.html
38922;4549;http://www.wga.hu/html/w/wouwerma/philips/coastal.html
9312;1204;http://www.wga.hu/html/d/domenico/michelin/dante2.html
17269;1984;http://www.wga.hu/html/h/houckgee/nieuwe4.html
4967;650;http://www.wga.hu/html/b/bury/goethe2.html
1438;172;http://www.wga.hu/html/b/backerde/lastjudg.html
3977;545;http://www.wga.hu/html/b/bouts/dirk_e/1/4paradit.html
30241;3577;http://www.wga.hu/html/zgothic/1romanes/cap-12c2/02f_1134.html
20587;2508;http://www.wga.hu/html/m/mansueti/miracl6.html
15476;1758;http://www.wga.hu/html/g/greco_el/02/0203grec.html
5130;696;http://www.wga.hu/html/c/camilo/adormagi.html
10779;1329;http://www.wga.hu/html/e/everding/caesar/lycurgus.html
33498;4034;http://www.wga.hu/html/t/tassi/quirinal.html
25606;3075;http://www.wga.hu/html/o/ostade/adriaen/2/port_fam.html
7052;913;http://www.wga.hu/html/c/cock_h/son/solicitu.html
19650;2398;http://www.wga.hu/html/l/longhi/pietro/1/00moros3.html
6507;831;http://www.wga.hu/html/c/champaig/jeanbapt/martyrdo.html
33708;4052;http://www.wga.hu/html/t/testelin/colbert1.html
23586;2823;http://www.wga.hu/html/zgothic/miniatur/1301-350/2french/79french.html
