Ime,Obdobje,Narodnost,Smer,Kraj 
"BADALOCCHIO, Sisto",Baroque,Italian,painter,Rome
"CONTIN, Francesco",Baroque,Italian,architect,Venice
"MIGNARD, Pierre",Baroque,French,painter,
"MANUEL, Niklaus",Northern Renaissance,Swiss,painter,Bern
"HOLBEIN, Hans the Elder",Northern Renaissance,German,painter,
"LIPPI, Filippino",Early Renaissance,Italian,painter,Florence
"THIVAERT, Daniel Janszoon",Baroque,Dutch,painter,Amsterdam
"STALBEMT, Adriaen van",Baroque,Flemish,painter,Antwerp
"L'ESTIN, Jacques de",Baroque,French,painter,Troyes
"TALENTI, Simone",Medieval,Italian,architect,Florence
"MOREAU, Mathurin",Realism,French,sculptor,Paris
"BORRANI, Odoardo",Realism,Italian,painter,Florence
"GÉRÔME,  Jean-Léon",Realism,French,painter,Paris
"LÓPEZ Y PIQUER, Bernardo",Romanticism,Spanish,painter,Valencia
"KENSETT, John Frederick",Romanticism,American,painter,
"EMBRIACHI, Baldassare degli",Medieval,Italian,sculptor,
"WIERINGA, Willems Harmen",Baroque,Dutch,painter,
"FORABOSCO, Girolamo",Baroque,Italian,painter,Venice
"PENNACCHI, Pier Maria",Early Renaissance,Italian,painter,Treviso
"ROSSI, Mariano",Neoclassicism,Italian,painter,
"NOMÉ, François de",Baroque,French,painter,
"MORIN, Jean-Louis",Rococo,French,painter,Sèvres
"REIXACH, Juan",Early Renaissance,Spanish,painter,Valencia
"WILLEBEECK, Petrus",Baroque,Flemish,painter,Antwerp
"GENTILESCHI, Orazio",Mannerism,Italian,painter,
"PEARCE, Edward",Baroque,English,sculptor,
"EVERSDIJCK, Willem",Baroque,Dutch,painter,Middelburg
"CASTIGLIONE, Giovanni Benedetto",Baroque,Italian,painter,Genoa
"EVENEPOEL, Henri",Impressionism,Belgian,painter,Paris
"GHEERAERTS, Marcus the Younger",Mannerism,Flemish,painter,London
"CITTADINI, Pier Francesco",Baroque,Italian,painter,Bologna
"BEGAS, Reinhold",Realism,German,sculptor,
"SCHAUFELEIN, Hans Leonhard",Northern Renaissance,German,painter,
"MANTEGNA, Andrea",Early Renaissance,Italian,painter,
"PONCE, Antonio",Baroque,Spanish,painter,Madrid
"JORDAN, Esteban",Mannerism,Spanish,sculptor,
"HEUSCH, Willem de",Baroque,Dutch,painter,Utrecht
"PILLORI, Antonio Nicola",Baroque,Italian,architect,Florence
"FALCONE, Bernardo",Baroque,Italian,sculptor,
"VERMEULEN, Andries",Rococo,Dutch,painter,Dordrecht
"PONZIO, Flaminio",Baroque,Italian,architect,
"LAPORTE, George Henry",Romanticism,German,painter,London
"FURINI, Francesco",Baroque,Italian,painter,Florence
"GREBBER, Pieter de",Baroque,Dutch,painter,Haarlem
"FÜHRICH, Joseph von",Romanticism,Bohemian,painter,
"MANSUETI, Giovanni",Early Renaissance,Italian,painter,Venice
"CIAMPELLI, Agostino",Baroque,Italian,painter,Rome
"SAVERY, Jacob II",Baroque,Dutch,painter,Amsredam
"PALMER, Samuel",Romanticism,English,painter,
"MISERONI, Ottavio",Baroque,Italian,sculptor,
"POST, Frans",Baroque,Dutch,painter,Haarlem
"LOON, Theodoor, van",Baroque,Flemish,painter,Brussels
"GAL'BERG, Samuil Ivanovich",Neoclassicism,Other,sculptor,Russia
"MOLENAER, Jan Miense",Baroque,Dutch,painter,Haarlem
"COTER, Colijn de",Northern Renaissance,Flemish,painter,Brussels
"FLÖTNER, Peter",Northern Renaissance,German,sculptor,Nuremberg
"RUSSI, Franco de'",Early Renaissance,Italian,illuminator,
"DRECHSLER, Johann Baptist",Rococo,Austrian,painter,Vienna
MASTER of AB Monogram,Northern Renaissance,German,painter,Saxony
"DANHAUSER, Josef Franz",Romanticism,Austrian,painter,
"KREUTZINGER, Joseph",Rococo,Austrian,painter,
"RUSSELL, John",Rococo,English,painter,
"PASTI, Matteo de'",Early Renaissance,Italian,sculptor,Rimini
"STUART, Gilbert",Rococo,American,painter,
"DEWHURST, Wynford",Impressionism,English,painter,
"AMBERGER, Christoph",Northern Renaissance,German,painter,Augsburg
"DIEUSSART, François",Baroque,Flemish,sculptor,London
"DUCK, Jacob",Baroque,Dutch,painter,Utrecht
"BARTSIUS, Willem",Baroque,Dutch,painter,Amsterdam
"JONGHELINCK, Jacques",Mannerism,Flemish,sculptor,
"COENE, Jacques",Medieval,Flemish,illuminator,
"OLIVER, Isaac",Baroque,English,miniaturist,
"VERBOECKHOVEN, Louis-Charles",Romanticism,Belgian,painter,Brussels
"CARLONE, Giovanni Battista",Baroque,Italian,painter,Genoa
"STOOP, Dirck Willemsz.",Baroque,Dutch,painter,Utrecht
"ALBA, Macrino d'",Early Renaissance,Italian,painter,Alba
"ZUCCARO, Federico",Mannerism,Italian,painter,
"CABAT, Louis-Nicolas",Realism,French,painter,Paris
"BOTTICINI, Francesco",Early Renaissance,Italian,painter,Florence
"QUINSA, Giovanni",Baroque,Spanish,painter,Naples
"MAY, Edward Harrison",Realism,American,painter,Paris
"KEBERLIN, Michael",Mannerism,German,goldsmith,Augsburg
"SUVÉE, Joseph-Benoit",Neoclassicism,Flemish,painter,
"BILIVERT, Jacopo",Mannerism,Dutch,goldsmith,Florence
"GERVEX, Henri",Realism,French,painter,Paris
"COT, Pierre-Auguste",Realism,French,painter,Paris
"CIMAROLI, Giovanni Battista",Baroque,Italian,painter,Venice
"BRUCE, William Blair",Impressionism,Other,painter,
"MORRICE, James Wilson",Impressionism,Other,painter,
"PIGALLE, Jean-Baptiste",Rococo,French,sculptor,
"ISRAELS, Isaac Lazarus",Impressionism,Dutch,painter,Amsterdam
"LEMOYNE, Jean-Baptiste II",Baroque,French,sculptor,Paris
"PALUDANUS, Guillielmus",Mannerism,Flemish,sculptor,Antwerp
"MIJN, George van der",Baroque,Dutch,painter,Amsterdam
"PALIZZI, Filippo",Realism,Italian,painter,Naples
DOMENICO DEI CAMMEI,Early Renaissance,Italian,sculptor,Florence
"BEMBO, Bonifazio",Early Renaissance,Italian,painter,Cremona
"SOKOLOV, Pyotr Fyodorovich",Realism,Russian,painter,
"MILLET, Jean-François",Realism,French,painter,Barbizon
CESARE da Sesto,High Renaissance,Italian,painter,Lombardy
ANDREA DEL CASTAGNO,Early Renaissance,Italian,painter,Florence
"DYCE, William",Romanticism,Scottish,painter,
MINO DA FIESOLE,Early Renaissance,Italian,sculptor,Florence
"REDOUTÉ, Pierre-Joseph",Neoclassicism,French,painter,Paris
"PAMPALONI, Luigi",Neoclassicism,Italian,sculptor,Florence
"SEURAT, Georges",Impressionism,French,painter,Paris
"COLOMBEL, Nicolas",Baroque,French,painter,Paris
"GAGGINI, Antonello",High Renaissance,Italian,sculptor,Sicily
"GRUND, Norbert",Rococo,Bohemian,painter,Prague
"NAPOLETANO, Filippo",Baroque,Italian,painter,Rome
"ALENZA Y NIETO, Leonardo",Neoclassicism,Spanish,painter,Madrid
"HERRING, Benjamin Jr.",Realism,English,painter,London
STEFANO DI SANT'AGNESE,Medieval,Italian,painter,Venice
CORNELIS VAN HAARLEM,Mannerism,Dutch,painter,Haarlem
"KNIP, Josephus Augustus",Romanticism,Dutch,painter,
"QUADAL, Martin Ferdinand",Rococo,Other,painter,
"DUBUFE, Edouard",Romanticism,French,painter,Paris
"STEVENS, Pieter",Baroque,Flemish,painter,
"ERHART, Gregor",Northern Renaissance,German,sculptor,Augsburg
"BORSATO, Giuseppe",Neoclassicism,Italian,painter,Venice
"TROYON, Constant",Realism,French,painter,
"GALLI, Pietro",Neoclassicism,Italian,sculptor,
VALENTIN DE BOULOGNE,Baroque,French,painter,Rome
"SLINGELAND, Pieter Cornelisz. van",Baroque,Dutch,painter,Leiden
"BEALE, Mary",Baroque,English,painter,London
"FONTEBASSO, Francesco",Rococo,Italian,painter,Venice
"SICKERT, Walter Richard",Impressionism,English,painter,London
"GONÇALVES, Nuno",Early Renaissance,Portuguese,painter,
"MOLA, Pier Francesco",Baroque,Italian,painter,Rome
"SCHÖNFELD, Johann Heinrich",Baroque,German,painter,
"DUPRÉ, Jules",Realism,French,painter,Barbizon
MASTER of the Legend of Saint. Ursula (I),Northern Renaissance,Flemish,painter,Bruges
"FOPPA, Vincenzo",Early Renaissance,Italian,painter,Milan
"HELST, Bartholomeus van der",Baroque,Dutch,painter,Amsterdam
"CODDE, Pieter",Baroque,Dutch,painter,Amsterdam
"SAVERY, Roelandt",Baroque,Dutch,painter,
"HUYSMANS, Cornelis",Baroque,Flemish,painter,Mechelen
"BETTI, Niccolò",Mannerism,Italian,painter,Florence
"OGGIONO, Marco d",Mannerism,Italian,painter,
"CHARLET, Nicolas-Toussaint",Romanticism,French,painter,Paris
"UNKNOWN MASTERS, Hungarian",Medieval,Hungarian,sculptor,
"BLOMMENDAEL, Jan",Baroque,Dutch,sculptor,
"ORLOVSKY, Boris Ivanovich",Neoclassicism,Russian,sculptor,
"RECCO, Giovan Battista",Baroque,Italian,painter,Naples
"ODEVAERE, Joseph-Denis",Neoclassicism,Flemish,painter,
"BREGHTEL, Hans Conraedt",Baroque,German,goldsmith,The Hague
"NORDENBERG, Bengt",Realism,Swedish,painter,Düsseldorf
"PETROVIÆ, Nadeda",Impressionism,Other,painter,
"HODGES, William",Rococo,English,painter,
"DILLENS, Adolphe-Alexandre",Realism,Belgian,painter,Brussels
"ERRI, Agnolo degli",Early Renaissance,Italian,painter,Modena
"FANTI, Sigismondo",High Renaissance,Italian,architect,Ferrara
"VERMEER VAN HAARLEM, Jan the Elder",Baroque,Dutch,painter,Haarlem
"HOREMANS, Jan Jozef II",Rococo,Flemish,painter,Antwerp
PIETRO DI DOMENICO DA MONTEPULCIANO,Medieval,Italian,painter,Marches
"COMIN, Giovanni",Baroque,Italian,sculptor,
"PAULI, Hanna",Impressionism,Swedish,painter,Stockholm
"ASAM, Egid Quirin",Baroque,German,sculptor,
"BOUGUEREAU, William-Adolphe",Realism,French,painter,
"WITTE, Emanuel de",Baroque,Dutch,painter,Amsterdam
"LOMBARDO, Pietro",Early Renaissance,Italian,architect,Venice
"PETERSSEN, Eilif",Impressionism,Norwegian,sculptor,
"WARD, James",Romanticism,English,painter,
"NÚÑEZ DELGADO, Gaspar",Mannerism,Spanish,sculptor,Seville
"FÉNYES, Adolf",Realism,Hungarian,painter,
"POËRSON, Charles",Baroque,French,painter,Paris
"TALENTI, Francesco",Medieval,Italian,architect,Florence
RAFFAELLINO DEL GARBO,Early Renaissance,Italian,painter,Florence
"CORDIER, Nicolas",Baroque,French,sculptor,Rome
ANTONIAZZO ROMANO,Early Renaissance,Italian,painter,Rome
"TENIERS, David the Younger",Baroque,Flemish,painter,Antwerp
"REYNOLDS, Sir Joshua",Rococo,English,painter,
"BRODSZKY, Sándor",Romanticism,Hungarian,painter,
"RAVERTI, Matteo",Medieval,Italian,architect,Venice
"DOUFFET, Gérard",Baroque,Flemish,painter,
"DROLLING, Martin",Baroque,French,painter,Paris
"BRAKENBURG, Richard",Baroque,Dutch,painter,Haarlem
"FATTORI, Giovanni",Realism,Italian,painter,
"RIZI, Francisco",Baroque,Spanish,painter,Madrid
"SCHALL, Jean-Frédéric",Rococo,French,painter,
"LEMOT, François-Frédéric",Neoclassicism,French,sculptor,
"WYCK, Jan",Baroque,Dutch,painter,Britain
"PAULSEN, Julius",Impressionism,Danish,painter,
"ROBBIA, Francesco della",High Renaissance,Italian,sculptor,
"BROEDERLAM, Melchior",Medieval,Flemish,painter,Burgundy
MASTER of Hohenfurth,Medieval,Bohemian,painter,Prague
"SILVANI, Pier Francesco",Baroque,Italian,architect,Tuscany
"UDEN, Lucas van",Baroque,Flemish,painter,Antwerp
"MAZZA, Giuseppe Maria",Baroque,Italian,sculptor,Bologna
"COOPER, Abraham",Realism,English,painter,London
"VALESIO, Giovanni Luigi",Baroque,Italian,painter,Bologna
"RYCKAERT, Maerten",Baroque,Flemish,painter,Antwerp
"BAUM, Paul",Impressionism,German,painter,
"JANSSENS, Abraham",Baroque,Flemish,painter,Antwerp
"MOILLON, Louise",Baroque,French,painter,Paris
"LA TOUR, Maurice Quentin de",Baroque,French,painter,
"MILHOMME, François-Dominique-Aimé",Neoclassicism,French,sculptor,
"SICIOLANTE DA SERMONETA, Girolamo",Mannerism,Italian,painter,
"KOROVIN, Konstantin Alekseyevich",Impressionism,Russian,painter,
"KOBELL, Hendrik",Rococo,Dutch,painter,Rotterdam
"CAPANNA, Puccio",Medieval,Italian,painter,Assisi
"HELLEU, Paul-César",Realism,French,painter,
"SWANEVELT, Herman van",Baroque,Dutch,painter,
"KLODT, Mikhail Konstantinovich",Realism,Russian,painter,St. Petersburg
"FERNELEY, John",Romanticism,English,painter,
"ERHART, Michael",Northern Renaissance,German,sculptor,Ulm
"ROSI, Alessandro",Baroque,Italian,painter,Florence
"ANGUIER, François",Baroque,French,sculptor,
"POST, Pieter Jansz",Baroque,Dutch,architect,
"MIJTENS, Jan",Baroque,Dutch,painter,The Hague
"PYNACKER, Adam",Baroque,Dutch,painter,
"ASHTON, Julian Rossi",Impressionism,Other,painter,Australia
"FALCIATORE, Filippo",Rococo,Italian,painter,Naples
"COURTEYS, Pierre",Mannerism,French,sculptor,
"DOSSI, Battista",High Renaissance,Italian,painter,Ferrara
"OBICI, Giuseppe",Romanticism,Italian,sculptor,Rome
"BEZZUOLI, Giuseppe",Romanticism,Italian,painter,Florence
"GARNIER, Louis",Baroque,French,sculptor,Paris
"BERTRAND, Philippe",Baroque,French,sculptor,
"HOOCH, Pieter de",Baroque,Dutch,painter,Delft
"CEULEN, Peter Wolfgang van",Northern Renaissance,German,sculptor,
"GHISLANDI, Giuseppe",Baroque,Italian,painter,Bergamo
"SCHEFFER, Ary",Romanticism,Dutch,painter,
"GOVAERTS, Abraham",Baroque,Flemish,painter,Antwerp
"LIES, Jozef Hubert",Romanticism,Belgian,painter,
"LALLEMAND, Jean-Baptiste",Baroque,French,painter,
BIAGIO D'ANTONIO,Early Renaissance,Italian,painter,Florence
"GHISSI, Francescuccio",Medieval,Italian,painter,
"PISANO, Giovanni",Medieval,Italian,sculptor,Pisa
"MARCELLINI, Carlo Andrea",Baroque,Italian,sculptor,
"DECKER, Cornelis Gerritsz",Baroque,Dutch,painter,Haarlem
"HEYSACKER, Tilman",Northern Renaissance,German,sculptor,Cologne
"RING, Ludger tom, the Younger",Mannerism,German,painter,
"CHIARI, Giuseppe Bartolomeo",Baroque,Italian,painter,Rome
"MAZONE, Giovanni",Early Renaissance,Italian,painter,Liguria
"MIERIS, Frans van, the Elder",Baroque,Dutch,painter,Leiden
"ZIMMERMANN, August Albert",Realism,German,painter,Vienna
"CINCINNATO, Romulo",Mannerism,Italian,painter,Spain
"LOMBARDO, Tullio",Early Renaissance,Italian,sculptor,Venice
"CARLONE, Giovanni Andrea",Baroque,Italian,painter,Genoa
PISANELLO,Early Renaissance,Italian,painter,
"ROESTRAETEN, Pieter Gerritsz. van",Baroque,Dutch,painter,Haarlem
"PEYRON, Jean-François-Pierre",Neoclassicism,French,painter,
"GROENEWEGEN, Pieter Anthonisz. van",Baroque,Dutch,painter,Delft
"CLÉSINGER, Auguste",Romanticism,French,sculptor,
"POTTER, Pieter Symonsz.",Baroque,Dutch,painter,Leiden
BONINO DA CAMPIONE,Medieval,Italian,sculptor,
"BOTTICINI, Raffaello",High Renaissance,Italian,painter,Florence
"BOCCACCINO, Boccaccio",Early Renaissance,Italian,painter,Cremona
"PETTENKOFEN, August von",Realism,Austrian,painter,Vienna
"BERTHOUD, Paul-François",Realism,French,sculptor,Paris
"REPIN, Ilya Yefimovich",Realism,Russian,painter,
"CARRACCI, Antonio",Baroque,Italian,painter,Bologna
"RUSTICI, Francesco",Baroque,Italian,painter,Siena
"GAREMIJN, Jan Antoon",Rococo,Flemish,painter,Bruges
"RUNGE, Philipp Otto",Romanticism,German,painter,
"MALOUEL, Jean",Northern Renaissance,Flemish,painter,Burgundy
MATTEO di Giovanni,Early Renaissance,Italian,painter,Siena
FRANCESCO DI GABRIELE DA VITERBO,Early Renaissance,Italian,painter,Viterbo
"TASSEL, Jean",Baroque,French,painter,Langres
"COURTOIS, Jacques",Baroque,French,painter,Rome
"MARTORELL, Bernat",Early Renaissance,Catalan,painter,Barcelona
REINER DE HUY,Medieval,Flemish,sculptor,Liège
"BURY, Friedrich",Neoclassicism,German,painter,
"HEEM, Jan Davidsz. de",Baroque,Dutch,painter,Antwerp
"PASSERI, Giuseppe",Baroque,Italian,painter,Rome
"MARCHESINI, Alessandro",Baroque,Italian,painter,Verona
"GALLE, Hieronymus",Baroque,Flemish,painter,Antwerp
"RIJSWIJCK, Dirck van",Baroque,Dutch,goldsmith,Amsterdam
"BERCKHEYDE, Job Adriaensz",Baroque,Dutch,painter,Haarlem
"UNKNOWN MASTERS, German",Medieval,German,sculptor,
"REIJSSCHOOT, Pieter Jan van",Baroque,Flemish,painter,
"FARGUE, Jacob Elias La",Rococo,Dutch,painter,The Hague
"COUSTOU, Nicolas",Baroque,French,sculptor,
"KERSTING, Georg Friedrich",Romanticism,German,painter,
"CUYP, Benjamin Gerritsz.",Baroque,Dutch,painter,Dordrecht
"SIMONIS, Eugène",Romanticism,Belgian,sculptor,
"CONCA, Sebastiano",Baroque,Italian,painter,
"MANETTI, Rutilio",Mannerism,Italian,painter,Siena
"HOYAU, Charles",Baroque,French,sculptor,
"RICCHI, Pietro",Baroque,Italian,painter,
"GAUGUIN, Paul",Impressionism,French,painter,
"ROSSI, Vincenzo de'",Mannerism,Italian,sculptor,Florence
"SORMANI, Leonardo",Mannerism,Italian,sculptor,Rome
"OUDINÉ, Eugène André",Realism,French,sculptor,Paris
"FRANCKEN, Ambrosius I",Mannerism,Flemish,painter,Antwerp
"STORCK, Jacobus",Baroque,Dutch,painter,Amsterdam
SANO di Pietro,Early Renaissance,Italian,painter,Siena
"COTMAN, Frederick George",Realism,English,painter,
"CRAYER, Gaspard de",Baroque,Flemish,painter,Ghent
"KØBKE, Christen",Romanticism,Danish,painter,
"BELLEVOIS, Jacob Adriaensz.",Baroque,Dutch,painter,Rotterdam
"DUYFHUIJSEN, Pieter Jacobsz.",Baroque,Dutch,painter,Rotterdam
"CARNEVALE, Fra",Early Renaissance,Italian,painter,Urbino
"PALMA, Antonio",High Renaissance,Italian,painter,Venice
"CANAL, Bernardo",Baroque,Italian,painter,Venice
"CARNERI, Matteo",Baroque,Italian,sculptor,
"DEGOUVE DE NUNCQUES, William",Impressionism,Belgian,painter,
"GAGNERAUX, Bénigne",Neoclassicism,French,painter,Italy
"CANOVA, Antonio",Neoclassicism,Italian,sculptor,
"MELLIN, Charles",Baroque,French,painter,Rome
"VIVARINI, Bartolomeo",Early Renaissance,Italian,painter,Venice
"MAUREAU, Alphonse",Impressionism,French,painter,Paris
"OVENS, Jürgen",Baroque,German,painter,
"STEENWIJCK, Harmen",Baroque,Dutch,painter,Leiden
"GERRITSZ., Joost",Baroque,Dutch,sculptor,
"CAMPEN, Jacob van",Baroque,Dutch,architect,
"POELENBURGH, Cornelis van",Baroque,Dutch,painter,Utrecht
"LORENZETTI, Pietro",Medieval,Italian,painter,Siena
CIMABUE,Medieval,Italian,painter,Florence
"FOGELBERG, Bengt Erland",Romanticism,Swedish,sculptor,
JEAN LE NOIR,Medieval,French,illuminator,Paris
"VANNI, Francesco",Mannerism,Italian,painter,Siena
"POURBUS, Frans the Elder",Mannerism,Flemish,painter,Antwerp
"FRANCHOYS, Pieter",Baroque,Flemish,painter,Mechelen
"GALIZIA, Fede",Baroque,Italian,painter,Milan
"MUZIANO, Girolamo",Mannerism,Italian,painter,Rome
"KERRICX, Willem Ignatius",Baroque,Flemish,sculptor,
"BLANCHARD, Pharamond",Romanticism,French,painter,
"BAYEU Y SUBIAS, Francisco",Rococo,Spanish,painter,Madrid
"LAMBERTI, Niccolò di Piero",Early Renaissance,Italian,sculptor,Florence
"VITELLI, Luisa",Baroque,Italian,painter,Florence
"JACKSON, Gilbert",Baroque,English,painter,London
"MECKEL, Adolf von",Realism,German,painter,Berlin
"GRAEB, Carl Georg Anton",Realism,German,painter,Berlin
MASTER of the Piccolomini Madonna,Early Renaissance,Italian,sculptor,Siena
"CASSIOLI, Amos",Realism,Italian,painter,Florence
"OEVER, Hendrick ten",Baroque,Dutch,painter,Zwolle
"VANVITELLI, Luigi",Baroque,Italian,sculptor,Naples
"STELLA, Jacques",Baroque,French,painter,
"RENOIR, Pierre-Auguste",Impressionism,French,painter,
"SKARBINA, Franz",Impressionism,German,painter,Berlin
"CALCAR, Jan Steven van",High Renaissance,Flemish,painter,Italy
"JANSSENS, Victor Honoré",Baroque,Flemish,painter,Brussels
LORENZETTO,High Renaissance,Italian,sculptor,Rome
"WOUTERS, Frans",Baroque,Flemish,painter,Antwerp
"FERRARI, Luca",Baroque,Italian,painter,
"BOSSCHE, Balthasar van den",Baroque,Flemish,painter,Antwerp
"UHDE, Fritz van",Impressionism,German,painter,
"CLEVE, Marten van I",Mannerism,Flemish,painter,Antwerp
"TITO, Santi di",Mannerism,Italian,painter,Florence
"SNIJERS, Peter",Baroque,Flemish,painter,Antwerp
"HUMMEL, Johann Erdmann",Romanticism,German,painter,
"LEFEBVRE, Claude",Baroque,French,painter,
"BEEST, Sybrand van",Baroque,Dutch,painter,
"POORTER, Willem de",Baroque,Dutch,painter,Amsterdam
"LEYGEBE, Paul Carl",Baroque,German,painter,Berlin
"GEEFS, Guillaume",Romanticism,Belgian,sculptor,
"GRAMATICA, Antiveduto",Baroque,Italian,painter,Rome
"DOUVEN, Frans Bartholomeus",Baroque,German,painter,Düsseldorf
"DELACROIX, Eugène",Romanticism,French,painter,
"HOGARTH, William",Baroque,English,painter,
"ALBERTI, Giovanni",Mannerism,Italian,painter,Rome
"VOLPATO, Giovanni",Neoclassicism,Italian,sculptor,
"PERMOSER, Balthasar",Baroque,German,sculptor,
"VOS, Paul de",Baroque,Flemish,painter,
"BRUNI, Domenico",Baroque,Italian,painter,Brescia
"CERNOTTO, Stefano",Mannerism,Italian,painter,
"TARAVAL, Guillaume-Thomas-Raphaël",Baroque,French,painter,Stockholm
"BASSANO, Leandro",Baroque,Italian,painter,Venice
"CSONTVÁRY KOSZTKA, Tivadar",Romanticism,Hungarian,painter,
"DUGHET, Gaspard",Baroque,French,painter,Rome
"CARRIÈRE, Eugène",Realism,French,painter,Paris
"FUSELI, John Henry",Romanticism,Swiss,painter,England
MASTER HONORÉ,Medieval,French,illuminator,Paris
"SWOL, Ambrosius van",Baroque,Dutch,sculptor,Utrecht
"PREDIS, Ambrogio de",Early Renaissance,Italian,painter,Lombardy
"LEMOYNE, Jean-Louis",Baroque,French,sculptor,Paris
FRANCESCO DI GIORGIO MARTINI,Early Renaissance,Italian,painter,Siena
"WILLIAMS, George Augustus",Realism,English,painter,London
"LAMPI, Johann Baptist I",Rococo,Austrian,painter,
"UNKNOWN ICON PAINTERS, Creten",Medieval,Greek,painter,Crete
"LISIEWSKA, Anna Dorothea",Rococo,German,painter,
MASTER of the Dominican Effigies,Medieval,Italian,illuminator,Florence
"ANDERSON, William",Romanticism,Scottish,painter,London
"VREL, Jacobus",Baroque,Dutch,painter,
"OLIVER, Peter",Baroque,English,painter,
"CELESTI, Andrea",Baroque,Italian,painter,Venice
ATTAVANTE DEGLI ATTAVANTI,Early Renaissance,Italian,illuminator,Florence
"FABRIS, Pietro",Rococo,Italian,painter,Naples
"SLAVÍÈEK, Antonín",Impressionism,Bohemian,painter,Prague
"SLEVOGT, Max",Impressionism,German,painter,
GASPARE DA PADOVA,Early Renaissance,Italian,illuminator,Rome
"CONSTABLE, John",Romanticism,English,painter,
"IBBETSON, Julius Caesar",Rococo,English,painter,
"MARIS, Willem",Impressionism,Dutch,painter,The Hague
"PIERRE, Jean-Baptiste-Marie",Rococo,French,painter,Paris
"GUGLIELMI, Gregorio",Rococo,Italian,painter,
"DAUBIGNY, Charles-François",Realism,French,painter,
"BAEN, Jan de",Baroque,Dutch,painter,
"ETEX, Antoine",Romanticism,French,sculptor,
"PORCELLIS, Jan",Baroque,Dutch,painter,
"CORNACCHINI, Agostino",Baroque,Italian,sculptor,Rome
"SANGALLO, Antonio da, the Younger",High Renaissance,Italian,architect,Rome
"AELST, Willem van",Baroque,Dutch,painter,Delft
"BOUDEWIJNS, Adriaen Frans",Baroque,Flemish,painter,
"COTMAN, John Sell",Romanticism,English,painter,Norwich
DIONYSIUS,Early Renaissance,Russian,painter,Moscow
"ZURBARÁN, Francisco de",Baroque,Spanish,painter,
"ROMAKO, Anton",Realism,Austrian,painter,
"DONCK, Gerard",Baroque,Dutch,painter,Amsterdam
"DANNECKER, Heinrich",Neoclassicism,German,sculptor,
"DUJARDIN, Karel",Baroque,Dutch,painter,Rome
"PIGNONI, Simone",Baroque,Italian,painter,Florence
CARAVAGGIO,Baroque,Italian,painter,Rome
MASTER of the Dresden Prayer Book,Northern Renaissance,Flemish,illuminator,Bruges
"KOPISCH, August",Romanticism,German,painter,Berlin
"LABILLE-GUIARD, Adélaide",Rococo,French,painter,Paris
MARTINO DI BARTOLOMMEO,Medieval,Italian,painter,Siena
"DILLENS, Hendrick Joseph",Realism,Belgian,painter,
"BLANCHET, Thomas",Baroque,French,painter,
"HAWKINS, Louis Welden",Realism,French,painter,
"NEEFFS, Peeter the Elder",Baroque,Flemish,painter,Antwerp
"VIGNON, Charlotte",Baroque,French,painter,Paris
MASO DI BARTOLOMMEO,Early Renaissance,Italian,sculptor,
"SEYBOLD, Christian",Baroque,German,painter,Vienna
"CAFFA, Melchiore",Baroque,Italian,sculptor,Rome
"HEIL, Daniel van",Baroque,Flemish,painter,Brussels
"UNKNOWN MASTERS, Flemish",Northern Renaissance,Flemish,sculptor,
"CATLIN, George",Romanticism,American,painter,
"TOOROP, Jan",Impressionism,Dutch,painter,
"MIEL, Jan",Baroque,Flemish,painter,Rome
"COLLINS, Charles",Baroque,Irish,painter,
MICHELE DA FIRENZE,Early Renaissance,Italian,sculptor,Florence
"MESSERSCHMIDT, Franz Xaver",Rococo,Austrian,sculptor,
"NOGARI, Giuseppe",Rococo,Italian,painter,Venice
"DEMARNE, Jean-Louis",Rococo,French,painter,Paris
"BELLE, Alexis-Simon",Baroque,French,painter,Paris
"YANEZ DE LA ALMEDINA, Fernando",High Renaissance,Spanish,painter,
"FRÉMIET, Emmanuel",Realism,French,sculptor,Paris
"BOUILLON, Michel",Baroque,French,painter,Paris
"DERUET, Claude",Baroque,French,painter,Nancy
GIOTTO di Bondone,Medieval,Italian,painter,Florence
"CARPACCIO, Vittore",High Renaissance,Italian,painter,Venice
"IVERNY, Jacques",Northern Renaissance,French,painter,
"SLODTZ, Paul-Ambroise",Baroque,French,sculptor,
"VALERIANI, Domenico",Rococo,Italian,painter,
"DAL ZOTTO, Antonio",Realism,Italian,sculptor,Venice
"TENIERS, David the Elder",Baroque,Flemish,painter,Antwerp
"CALRAET, Abraham van",Baroque,Dutch,painter,Dordrecht
"EPINAY, Prosper d'",Realism,French,sculptor,
"RICHET, Léon",Realism,French,painter,
"MURILLO, Bartolomé Esteban",Baroque,Spanish,painter,Seville
"COLLINO, Ignazio",Baroque,Italian,sculptor,Turin
"MARON, Anton von",Neoclassicism,Austrian,painter,Rome
"HACKAERT, Jan",Baroque,Dutch,painter,Amsterdam
"MEHUS, Livio",Baroque,Flemish,painter,Florence
"QUILLARD, Pierre-Antoine",Rococo,French,painter,Lisbon
"QUELLINUS, Artus I",Baroque,Flemish,sculptor,Antwerp
"MOINE, Antonin-Marie",Romanticism,French,sculptor,
"RIBERA, Jusepe de",Baroque,Spanish,painter,Italy
"BAGLIONE, Cesare",Mannerism,Italian,painter,
JEAN DE LIÈGE,Medieval,French,sculptor,
"DENIS, Simon-Joseph-Alexandre-Clément",Baroque,Flemish,painter,Rome
