Ime,Obdobje,Narodnost,Smer,Kraj
"COSMA, Giovanni di",Medieval,Italian,sculptor,Rome
"BROUWER, Adriaen",Baroque,Flemish,painter,Antwerp
"DUMONT,  François",Baroque,French,sculptor,
"CONINCK, David de",Baroque,Flemish,painter,
"KNEBEL, Franz",Romanticism,Swiss,painter,Rome
"SNAYERS, Pieter",Baroque,Flemish,painter,Brussels
"BRUSSEL, Paul Theodor van",Rococo,Dutch,painter,Amsterdam
"NOOMS, Reiner",Baroque,Dutch,painter,
"VEIT, Philipp",Romanticism,German,painter,
"LENBACH, Franz von",Realism,German,painter,Munich
"MAYER, Marie-Constance",Rococo,French,painter,Paris
"BERNINI, Pietro",Mannerism,Italian,sculptor,Rome
"BELLANGÉ, Hippolyte",Neoclassicism,French,painter,Paris
"BLOEMEN, Norbert van",Baroque,Flemish,painter,
ADRIANO FIORENTINO,Early Renaissance,Italian,sculptor,Florence
"DORFFMEISTER, István",Rococo,Hungarian,painter,
"SALLAERT, Anthonis",Baroque,Flemish,painter,Brussels
"CIUFFAGNI, Bernardo",Early Renaissance,Italian,sculptor,Florence
"UNTERBERGER, Christoph",Rococo,Austrian,painter,Rome
"BOUDARD, Jean-Baptiste",Rococo,French,sculptor,Parma
"TAUNAY, Nicolas Antoine",Rococo,French,painter,
"JONSON VAN CEULEN, Cornelius the Younger",Baroque,Dutch,painter,Utrecht
"BRANDI, Giacinto",Baroque,Italian,painter,
"PLUYM, Karel van der",Baroque,Dutch,painter,Leiden
"GREVENBROECK, Orazio",Baroque,Dutch,painter,
"BEMBO, Giovan Francesco",High Renaissance,Italian,painter,Cremona
"GELDER, Aert de",Baroque,Dutch,painter,Dordrecht
"VALDÉS LEAL, Juan de",Baroque,Spanish,painter,Seville
"STOSKOPFF, Sébastien",Baroque,French,painter,Strasbourg
"WOUWERMAN, Philips",Baroque,Dutch,painter,Haarlem
STEFANO DA ZEVIO,Early Renaissance,Italian,painter,Verona
"SCHUT, Cornelis I",Baroque,Flemish,painter,Rome
"MILANI, Aureliano",Baroque,Italian,painter,
"HAYDON, Benjamin Robert",Neoclassicism,English,painter,
"PALAMEDESZ., Anthonie",Baroque,Dutch,painter,Delft
"DELFF, Jacob Willemsz II",Baroque,Dutch,painter,Delft
"SOLE, Giovan Gioseffo dal",Baroque,Italian,painter,Bologna
"FRANCESCHINI, Baldassarre",Baroque,Italian,painter,Florence
LORENZO VENEZIANO,Medieval,Italian,painter,Venice
"GREUZE, Jean-Baptiste",Rococo,French,painter,Paris
"CAMPAÑA, Pedro de",High Renaissance,Spanish,painter,
