Ime_slikarja,Narodnost,Smer,Letnice_kraj 
"DORFFMEISTER, József",Hungarian,painter,"b. 1764, Sopron, d. 1807, Sopron"
"SCHUT, Cornelis I",Flemish,painter,"b. 1597, Antwerpen, d. 1655, Antwerpen"
"CALIARI, Benedetto","Italian painter, Venetian",school,"b. 1538, Verona, d. 1598, Venezia"
JOOS van Wassenhove,Dutch,painter,active c.1460-80
"OBICI, Giuseppe",Italian,sculptor,"b. 1807, Spilamberto, d. 1878, Roma"
"LAMPSONIUS, Dominicus",Flemish poet and,artist,"b. 1532, Bruges, d. 1599, Liège"
"ZIMMERMANN, Carl Friedrich",German,painter,"b. 1796, Berlin, d. 1820, Berlin"
"PORPORA, Paolo","Italian painter, Neapolitan",school,"b. 1617, Napoli, d. 1673, Roma"
"ISRAELS, Isaac Lazarus",Dutch,painter,"b. 1865, Amsterdam, d. 1934, Den Haag"
"PATCH, Thomas",English,painter,"b. 1725, Exeter, d. 1782, Firenze"
"BARBARI, Jacopo de'","Italian painter, Venetian",school,"b. ca. 1445, Venezia, d. 1516, Bruxelles"
"PULIGO, Domenico","Italian painter, Florentine",school,"b. 1492, Firenze, d. 1527, Firenze"
MINO DA FIESOLE,"Italian sculptor, Florentine",school,"b. 1429, Poppi, d. 1484, Firenze"
"PALMER, Samuel",English,painter,"b. 1805, Newington, d. 1881, Redhill"
"ZIMMERMANN, Dominikus","German sculptor, Bavarian",school,"b. 1685, Wessobrunn, d. 1766, Wies"
"PETITJEAN, Hippolyte",French,painter,"b. 1854, Mâcon, d. 1929, Paris"
"SUSTERMANS, Justus",Flemish,painter,"b. 1597, Antwerpen, d. 1681, Firenze"
"POLACK, Jan",Polish,painter,"b. ?, d. 1519, München"
"MISERONI, Ottavio",Italian lapidary,artist,"b. 1567, Milano, d. 1624, Praha"
"GRIGI, Giovanni Giacomo de'",Italian,architect,"active 1549, d. 1578, Venezia"
"VESTIER, Antoine",French,painter,"b. 1740, Avallon, d. 1824, Paris"
"PAOLINI, Pietro","Italian painter, Lucchese",school,"b. 1603, Lucca, d. 1681, Lucca"
"STRIJ, Abraham van, I",Dutch,painter,"b. 1753, Dordrecht, d. 1826, Dordrecht"
"CHASTILLON, Claude",French draughtsman and,engineer,"b. ca. 1560, Châlons-sur-Marne, d. 1616, Paris"
GASPARE DA PADOVA,Italian,illuminator,active 1466-1517 in Rome
"COXCIE, Raphael",Flemish,painter,"b. 1540, Mechelen, d. 1616, Brussels"
"MEULENER, Pieter",Flemish,painter,"b. 1602, Antwerpen, d. 1654, Moisset"
"MIERIS, Jan van",Dutch,painter,"b. 1660, Leiden, d. 1690, Roma"
"BAURSCHEIT, Jan Peter van, the Elder",Flemish,sculptor,"b. 1669, Würmersdorf, d. 1728, Antwerpen"
"BERENTZ, Christian",German,painter,"b. 1658, Hamburg, d. 1722, Roma"
"FURTENAGEL, Lukas",German,painter,"b. 1505, Augsburg, d. ca. 1546"
"TASSEL, Jean",French,painter,"b. 1608, Langres, d. 1667, Langres"
"TRUTAT, Félix",French,painter,"b. 1824, Dijon, d. 1848, Dijon"
LORENZO DI CREDI,"Italian painter, Florentine",school,"b. ca. 1459, Firenze, d. 1537, Firenze"
"FELICI, Vincenzo","Italian sculptor, Roman",school,active 1667-1707
"POLLAIUOLO, Antonio del","Italian painter and sculptor, Florentine",school,"b. 1431/32, Firenze, d. 1498, Roma"
"VERMIGLIO, Giuseppe",Italian,painter,"b. ca. 1585, Alessandria, d. after 1635"
PISANELLO,Italian,painter,"b. 1395, Pisa, d. 1455, Roma"
"DANCKERTS, Cornelis the Elder",Dutch,engraver,"b. ca. 1603, Amsterdam, d. 1656, Amsterdam"
"DANDRIDGE, Bartholomew",English,painter,"b. 1691, London, d. ca. 1755, London"
"CAMMARANO, Michele",Italian,painter,"b. 1835, Napoli, d. 1920, Napoli"
JACOBELLO DEL FIORE,"Italian painter, Venetian",school,"b. 1370, Venezia, d. 1439, Venezia"
BACCHIACCA,"Italian painter, Florentine",school,"b. 1494, Firenze, d. 1557, Firenze"
BENEDETTO DA ROVEZZANO,Italian,sculptor,"b. 1474, Canapale, d. 1554, Vallombrosa"
"GOSSART, Jan",Flemish,painter,"b. ca. 1478, Maubeuge, d. 1532, Middelburg"
"FILLOEUL, Pierre",French,printmaker,"b. 1696, Abbeville, d. after 1754, Paris"
"PAGANI, Paolo",Italian,painter,"b. 1655, Valsolda, d. 1716, Milano"
"LIÉDET, Loyset",Flemish,illuminator,"b. ca. 1420, Hesdin, d. 1479, Brugge"
"ROBERT, Hubert",French,painter,"b. 1733, Paris, d. 1808, Paris"
"MOUCHERON, Frederick de",Dutch,painter,"b. 1633, Emden, d. 1686, Amsterdam"
"RAFFAËLLI, Jean-François",French,painter,"b. 1850, Paris, 1924, Paris"
"ZUCCHI, Jacopo","Italian painter, Florentine",school,"b. ca. 1540, Firenze, d. ca. 1596, Roma"
"CABEL, Adriaan van der",Dutch,painter,"b. ca. 1630, Rijswijk, d. 1705, Lyon"
"BOYVIN, René",French,engraver,"b. ca. 1525, Angers, d. ca. 1625, Angers"
"MURANT, Emanuel",Dutch,painter,"b. 1622, Amsterdam, d. ca.1700, Leeuwarden"
"RYSSELBERGHE, Théo van",Belgian,painter,"b. 1862, Gent, d. 1926, Saint-Clair"
"GEEFS, Guillaume",Belgian,sculptor,"b. 1805, Antwerpen, d. 1883, Bruxelles"
"UYTTENBROECK, Moyses Matheusz van",Dutch painter and,etcher,"b. ca. 1595, Den Haag, d. ca. 1647, Den Haag"
"CONCA, Sebastiano","Italian painter, Roman",school,"b. 1680, Gaeta, d. 1764, Napoli"
"DERMOYEN, Willem",Flemish tapestry weaver and,dealer,active 1520-1530s in Brussels
"SIGNAC, Paul",French,painter,"b. 1863, Paris, d. 1935, Paris"
"FRANCAVILLA, Pietro",Flemish,sculptor,"b. 1548, Cambrai, d. 1615, Paris"
"GUILLAUMIN, Armand",French,painter,"b. 1841, Paris, d. 1927, Orly"
"JONES, Inigo",English architect and,designer,"b. 1573, London, d. 1652, London"
"SEDDON, Thomas III",English,painter,"b. 1821, London, d. 1856, Cairo"
"HOLSTEYN, Cornelis","Dutch painter, Haarlem",school,"b. 1618, Haarlem, d. 1658, Amsterdam"
"TORELLI, Felice","Italian painter, Bolognese",school,"b. 1667, Verona, d. 1748, Bologna"
"SCALFAROTTO, Giovanni Antonio",Italian,architect,"b. ca. 1695, Venezia, d. 1764, Venezia"
"PIGALLE, Jean-Baptiste",French,sculptor,"b. 1714, Paris, d. 1785, Paris"
"BUONCONSIGLIO, Giovanni",Italian,painter,"b. ca. 1465, Vicenza, d. ca. 1535, Venezia"
MASTER of Balaam,German,engraver,active 1440s
"CIARDI, Guglielmo",Italian,painter,"b. 1842, Venezia, d. 1917, Venezia"
"AVED, Jacques-André-Joseph",French,painter,"b. 1702, Douai, d. 1766, Paris"
PIETRO DA FANO,Italian,medalist,active 1452-1464 in Mantua
"KOBELL, Hendrik",Dutch,painter,"b. 1751, Delfshaven, d. 1779, Delfshaven"
"VISSCHER, Cornelis",Dutch,engraver,"b. ca. 1629, Haarlem, d. 1658, Amsterdam"
"BARRERA, Francisco",Spanish,painter,"b. 1595, Madrid, d. 1658, Madrid"
"LABRUZZI, Carlo",Italian painter and,engraver,"b. 1748, Roma, d. 1817, Perugia"
"PALMEZZANO, Marco",Italian,painter,"b. ca. 1459, Forlí, d. ca. 1539, Forlí"
"RIED, Benedikt",German,architect,"b. ca. 1454, d. ca. 1534, Louny"
ANTONIO VENEZIANO,Italian,printer,active 1369-1419
"BONZI, Pietro Paolo","Italian painter, Roman",school,"b. ca. 1576, Cortona, d. 1636, Roma"
"SALIBA, Antonio de",Italian,painter,"b. ca. 1466, Messina, d. ca. 1535, Messina"
"ROMANO, Giovanni Cristoforo",Italian,sculptor,"b. ca. 1465, Roma, d. 1512, Loreto"
"ROSA, Salvator",Italian,painter,"b. 1615, Arenella, d. 1673, Roma"
"FORTUNY Y MARSAL, Mariano",Catalan,painter,"b. 1838, Reus, d. 1874, Roma"
"BELBELLO DA PAVIA, Luchino",Italian,illuminator,active c. 1430-1470 in Lombardy
"MOREAU, Mathurin",French,sculptor,"b. 1822, Dijon, d. 1912, Paris"
"BOUILLON, Michel","French painter (b. ca. 1616,",Ere,"Tournai), d. after 1654"
"CAULLERY, Louis de",Flemish,painter,"b. ca. 1580, Caulery, d. 1621, Antwerpen"
"GARZONI, Giovanna",Italian,painter,"b. 1600, Ascoli Piceno, d. 1670, Roma"
"LEISTIKOW, Walter",German,painter,"b. 1855, Bromberg, d. 1908, Schlachtensee"
"TESTELIN, Henri",French,painter,"b. 1616, Paris, d. 1695, Den Haag"
"LABILLE-GUIARD, Adélaide",French,painter,"b. 1749, Paris, d. 1803, Paris"
PIETRO DI DOMENICO DA MONTEPULCIANO,Italian,painter,active 1418-1422
"SANTERRE, Jean-Baptiste",French,painter,"b. 1651, Magny-en-Vexin, d. 1717, Paris"
"DAUMIER, Honoré","French painter, graphic artist,",sculptor,"b. 1808, Marseille, d. 1879, Valmondois"
"GÉRARD, Marguerite",French,painter,"b. 1761, Grasse, d. 1837, Paris"
"LE BRUN, Charles",French,painter,"b. 1619, Paris, d. 1690, Paris"
"LIPPARINI, Ludovico",Italian,painter,"b. 1800, Bologna, d. 1856, Venezia"
"AUDRAN, Jean",French,engraver,"b. 1667, Lyon, d. 1756, Paris"
"GRANDVILLE, Jean-Jacques",French,caricaturist/illustrator,"b. 1803, Nancy, d. 1847, Vanves"
"GERHAERT VAN LEYDEN, Nicolaus",Netherlandish,sculptor,active 1462-1473
MASTER THOMAS de Coloswar,Hungarian,painter,first half of 15th century
"VALCKERT, Werner Jacobsz. van den",Dutch,painter,"b. ca. 1580, Den Haag, d. ca. 1627, Amsterdam"
"HELLEU, Paul-César",French painter and,printmaker,"b. 1859, Vannes, d. 1927, Paris"
"BREDAEL, Jan Frans van",Flemish,painter,"b. 1686, Antwerpen, d. 1750, Antwerpen"
"VISSCHER, Anna Roemers",Dutch glass,engraver,"b. 1583, Amsterdam, d. 1651 Alkmaar"
"JONGHELINCK, Jacques",Flemish sculptor and,medallist,"b. 1530, Antwerpen, d. 1606, Antwerpen"
"CLERCK, Hendrik de",Flemish,painter,"b. ca. 1570, Bruxelles, d. 1630, Bruxelles"
"GREEN, Valentine",English,engraver,"b. 1739, Salford, d. 1813, London"
"PONSONELLI, Giacomo Antonio","Italian sculptor, Genovese",school,"b. 1654, Massa, d. 1735, Genova"
"LIPPI, Lorenzo",Italian,painter,"b. 1606, Firenze, d. 1665, Firenze"
"RUGGIERI, Ferdinando",Italian,architect,"b. 1691, Firenze, d. 1741, Firenze"
"WESTERHOLM, Victor Axel",Finnish,painter,"b. 1860, Turku, d. 1919, Turku"
"BEHAM, Hans Sebald",German,engraver,"b. 1500, Nürnberg, d. 1540, Frankfurt"
"RICHTER, Johan","Swedish painter, Venetian",school,"b. 1665, Stockholm, d. 1745, Venezia"
"GUIDOBONO, Bartolomeo",Italian,painter,"b. 1654, Savona, d. 1709, Torino"
"LOMBARDI, Alfonso","Italian sculptor, Emilian",school,"b. ca. 1487, Ferrara, d. 1537, Bologna"
ANTICO,"Italian sculptor, Mantova",school,"b. ca. 1460, Mantova, d. 1528, Mantova"
"SERGEL, Johan Tobias",Swedish,sculptor,"b. 1740, Stockholm, d. 1814, Stockholm"
"POURBUS, Frans the Elder",Flemish,painter,"b. 1545, Bruges, d. 1581, Antwerpen"
GIAMPIETRINO,"Italian painter, Lombard",school,active 1520-40 in Milan
ANTONIO DA ATRI,Italian,painter,"b. ca. 1350, Atri, d. 1433, Atri"
"TRIPPEL, Alexander",Swiss,sculptor,"b. 1744, Schaffhausen, d. 1793, Roma"
"EARLOM, Richard",English,printmaker,"b. 1743, London, d. 1822, London"
"COUWENBERGH, Christiaen van","Dutch painter, Delft",school,"b. 1604, Delft, d. 1667, Cologne"
"FRANCKEN, Frans III",Flemish,painter,"b. 1695, Lyon, d. 1760, Roma"
"COX, David",English,painter,"b. 1783, Birmingham, d. 1859, Harbourne"
"VELLERT, Dirck Jacobsz.",Netherlandish glass,painter,"b. ca. 1480, Amsterdam, d. 1547, Antwerpen"
"BARRET, George",Irish,painter,"b. ca. 1728, Dublin, d. 1784, London"
"DILLENS, Adolphe-Alexandre",Belgian painter and,etcher,"b. 1821, Gent, d. 1877, Bruxelles"
"MARTÍNEZ, Jusepe",Spanish,painter,"b. 1600, Zaragoza, d. 1682, Zaragoza"
"GIGANTE, Giacinto",Italian painter and,printmaker,"b. 1806, Napoli, d. 1876, Napoli"
"MERIAN, Matthäus the Elder",Swiss,engraver,"b. 1593, Basel, d. 1650, Schwalbach"
"NONNOTTE, Donat",French,painter,"b. 1708, Besançon, d. 1785, Lyon"
"RESCHI, Pandolfo","Polish painter, active in",Italy,"b. ca. 1640, Gdansk, d. 1696, Firenze"
"DEGAS, Edgar",French,painter,"b. 1834, Paris, d. 1917, Paris"
"KEYSER, Thomas de",Dutch,painter,"b. 1596/97, Amsterdam, d. 1667, Amsterdam"
"BRANT, Sebastian",German,humanist,"b. 1457, Strassburg, d. 1521, Strassburg"
"BOONEN, Arnold",Dutch,painter,"b. 1669, Dordrecht, d. 1729, Amsterdam"
"CATLIN, George",American,painter,"b. 1796, Wilkes-Barre, d. 1872, Jersey City"
GANO DI FAZIO,"Italian sculptor, Sienese",school,"active from 1302, d. before 1318, Siena"
"SNYDERS, Frans",Flemish,painter,"b. 1579, Antwerpen, d. 1657, Antwerpen"
"HUNT, William Morris",American,painter,"b. 1824, Brattleboro, Vermont, d. 1879, Appledore, New Hampshire"
"HOECKE, Jan van den",Flemish,painter,"b. 1611, Antwerpen, d. 1651, Antwerpen"
"CONSTABLE, John",Engish,painter,"b. 1776, East Bergholt, d. 1837, Hampstead"
"LINT, Pieter van",Flemish,painter,"b. 1609, Antwerpen, d. 1690, Antwerpen"
"CARRIÈRE, Eugène",French painter and,lithographer,"b. 1849, Gournay-sur-Marne, d. 1906, Paris"
"JORDAENS, Jacob",Flemish,painter,"b. 1593, Antwerpen, d. 1678, Antwerpen"
"LENS, Andries Cornelis",Flemish,painter,"b. 1739, Antwerpen, d. 1822, Bruxelles"
"DAVENT, Léon",French,engraver,active 1540-1556
"DONCKT, François van der",Flemish,painter,"b. 1757, Bruges, d. 1813, Bruges"
"DUGONI, Antonio",Italian,painter,"b. 1827, Cividale, d. 1874, Friuli"
"ODERISI, Pietro",Italian,sculptor,active c. 1260-80
"SCERPSWERT, Elyas",Netherlandish,goldsmith,active second half 14th century in Utrecht
"BACKER, Jacob de",Flemish,painter,"b. 1555/60, Antwerpen, d. 1585/90, Antwerpen"
"NERI, Pietro Martire",Italian,painter,"b. 1601, Cremona, d. 1661, Roma"
"POËRSON, Charles",French,painter,"b. 1609, Vic-sur-Seille, d. 1667, Paris"
"LE SUEUR, Eustache",French,painter,"b. 1616/17, Paris, d. 1655, Paris"
"CAROTO, Giovanni Francesco","Italian painter, Veronese",school,"b. 1480, Verona, d. ca. 1555, Verona"
"ZIEM, Félix",French,painter,"b. 1821, Beaune, d. 1911, Paris"
"BOSCOLI, Tommaso di Pietro",Italian,architect,"b. 1503, Fiesole, d. 1574, Montepulciano"
"DAHL, Johan Christian Clausen",Norwegian,painter,"b. 1788, Bergen, d. 1857, Dresden"
"ROBIE, Jean-Baptiste",Belgian,painter,"b. 1821, Bruxelles, d. 1910, Saint-Gilles"
"TIROL, Hans",German painter and,publisher,"b. ca. 1505, Augsburg, d. ca. 1575, Augsburg"
"VOLPATO, Giovanni",Italian,sculptor,"b. 1733, Bassano, d. 1803, Roma"
"TOMA, Gioacchino",Italian,painter,"b. 1836, Galatina, d. 1891, Napoli"
"SERLIO, Sebastiano",Italian architect and,theorist,"b. 1475, Bologna, d. ca. 1554, Fontainebleau"
"LEEN, Willem van",Dutch,painter,"b. 1753, Dordrecht, d.1825, Delfshaven"
"LEMOYNE, François",French,painter,"b. 1688, Paris, d. 1737, Paris"
"BENINTENDI, Orsino",Italian wax,modeller,"b. ca. 1440, Firenze, d. ca. 1498, Firenze"
"DEGOUVE DE NUNCQUES, William",Belgian,painter,"b. 1867, Monthermé, d. 1935, Stavelot"
"SUSENIER, Abraham",Dutch,painter,"b. ca. 1620, Leiden, d. ca. 1668, Dordrecht"
"POURBUS, Pieter",Flemish,painter,"b. ca. 1523, Gouda, d. 1584, Brugge"
MASTER of the Votive Picture of Sankt Lambrecht,Austrian,painter,active around 1430 in Austria
"FOPPA, Vincenzo","Italian painter, Milanese",school,"b. 1427/30, Brescia, d. 1515/16, Brescia"
"HOSCHEDÉ-MONET, Blanche",French,painter,"b. 1865, Paris, d. 1947, Giverny"
"VILLAMENA, Francesco",Italian,engraver,"b. 1564, Assisi, d. 1624, Roma"
"BLOEMEN, Pieter van",Flemish,painter,"b. 1657, Antwerpen, d. ca. 1720, Antwerpen"
"TRECK, Jan Jansz.",Dutch,painter,"b. ca. 1606, Amsterdam, d. 1652, Amsterdam"
"LUCAS DE MONTIGNY, Jean-Robert-Nicolas",French,sculptor,"b. 1747, Rouen, d. 1810, Paris"
MASTER of the Legend of Saint Ursula (II),German,painter,active 1480-1520 in Cologne
"CRAEN, Laurens",Dutch,painter,"b. 1620, Den Haag, d. 1663, Middelburg"
"LOVISA, Domenico",Italian,publisher,"b. ca. 1690, Venezia, d. ca. 1750, Venezia"
"SCHWANTHALER, Ludwig",German,sculptor,"b. 1802, München, d. 1848, München"
"NEGRI, Pietro","Italian painter, Venetian",school,c. 1628-1679
"BEECHEY, Sir William",English,painter,"b. 1753, Burford, d. 1839, London"
"TENERANI, Pietro",Italian,sculptor,"b. 1789, Torano, Massa e Carrara, d. 1869, Roma"
"MERYON, Charles",French,printmaker,"b. 1821, Paris, d. 1868, Charenton-le-Pont"
"ZICHY, Mihály",Hungarian painter and graphic,artist,"b. 1827, Zala, d. 1906, St. Petersburg"
"SWAMMERDAM, Jan",Dutch biologist and,microscopist,"b. 1637, Amsterdam, d. 1680, Amsterdam"
"WITTMER, Johann Michael",German,painter,"b. 1802, Murnau, d. 1880, München"
"ROMBOUTS, Gillis","Dutch painter, Haarlem",school,"b. 1630, Haarlem, d. 1672, Haarlem"
"JACQUE, Charles Émile",French painter and,printmaker,"b. 1813, Paris, d. 1894, Paris"
"LEDESMA, Blas de",Spanish,painter,documented 1602-1614 in Granada
BARTOLOMEO DI GIOVANNI,"Italian painter, Florentine",school,active 1480-1510
"CALLOIGNE, Jan Robert",Flemish,sculptor,"b. 1775, Bruges, d. 1830, Antwerpen"
"FERNÁNDEZ, Gregorio",Spanish,sculptor,"b. ca. 1576, d. 1636, Valladolid"
"WILDENS, Jan",Flemish,painter,"b. 1586, Antwerpen, d. 1653, Antwerpen"
"BOGAERT, Hendrick",Dutch,painter,"b. ca. 1626, Amsterdam, d. after 1674, Amsterdam"
"MAZZA, Tommaso del",Italian,painter,active 1375-1391 in Florence
PAOLO DA VISSO,Italian,painter,active 1437-1481
"GRECO, Gennaro",Italian,painter,"b. 1663, Napoli, d. 1714, Nola"
"LANGREN, Hendrik Floris van",Dutch,cartographer,c. 1574-1648
"WYNANTS, Jan",Dutch,painter,"b. ca. 1630, Haarlem, d. 1684, Amsterdam"
"ZUCCHI, Francesco",Italian,painter,"b. 1562, Firenze, d. 1622, Roma"
"NEEFFS, Peeter the Younger",Flemish,painter,"b. 1620, Antwerpen, d. ca. 1675, Antwerpen"
"ROESTRAETEN, Pieter Gerritsz. van",Dutch,painter,"b. ca. 1630, Haarlem, d. 1700, London"
"DORÉ, Gustave",French illustrator and,painter,"b. 1832, Strasbourg, d. 1883, Paris"
"BATAILLE, Nicolas",French tapestry,weaver,c. 1330-c. 1405
"SERRA, Pere",Catalan,painter,active 1363-1399
"CHARPENTIER, Jean-Baptiste the Elder",French,painter,"b. 1728, Paris, d. 1806, Paris"
"MUZIANO, Girolamo","Italian painter, Roman",school,"b. 1532, Brescia, d. 1592, Roma"
"MORA, José de",Spanish,sculptor,"b. 1642, Baza, Granada, d. 1724, Granada"
"JAMNITZER, Wenzel",German,goldsmith,"b. ca. 1507, Wien, d. 1585, Nürnberg"
"SANTACROCE, Girolamo da","Italian painter, Venetian",school,"b. 1480/85, Santa Croce, d. ca. 1556, Venezia"
"CRABBE, Frans",Flemish,printmaker,"b. ca. 1480, Mechelen, d. 1553, Mechelen"
MASTER of the Holy Kinship,German,painter,active 1480-1518 in Cologne
"BASSANO, Leandro","Italian painter, Venetian",school,"b. 1557, Bassano del Grappa, d. 1622, Venezia"
"PARENZANO, Bernardino","Italian painter, Paduan",school,"b. ca. 1450, Parenzo, d. ca. 1500, Vicenza"
"RASMUSSEN, Georg Anton",Norwegian,painter,"b. 1842, Stavanger, d. 1914, Berlin"
"SCHEDONI, Bartolomeo","Italian painter, Emilian",school,"b. 1578, Modena, d. 1615, Parma"
"MARCHIORI, Giovanni",Italian,sculptor,"b. 1696, Caviola d'Agordo, d. 1778, Treviso"
"MERIAN, Matthäus the Younger",Swiss,painter,"b. 1621, Basel, d. 1687, Frankfurt"
"DALENS, Dirck III",Dutch,painter,"b. 1688, Amsterdam, d. 1753, Amsterdam"
"CARPIONI, Giulio","Italian painter, Venetian",school,1613-1674
"COLI, Giovanni",Italian,painter,"b. 1636, San Quirico di Lucca, d. 1681, Lucca"
"BROEDERLAM, Melchior",Flemish,painter,active 1381-1409
"DELACROIX, Eugène",French,painter,"b. 1798, Charenton-Saint-Maurice, d. 1863, Paris"
"VIEIRA, Jacinto",Portuguese,sculptor,"b. ca. 1700, Braga, d. c. 1760, Braga"
"ERRI, Bartolomeo degli",Italian,painter,active 1460-1479 in Modena
"GRISÉE, Louis-Joseph",French,painter,"b. 1822, Saint Cyr l'Ecole, d. ca. 1867, Paris"
"SHCHEDRIN, Sil'vestr Fedosyevich",Russian,painter,"b. 1791, St. Petersburg, d. 1830, Sorrento"
"GIRARDON, François",French,sculptor,"b. 1628, Troyes, d. 1715, Paris"
"WORLIDGE, Thomas",English painter and,etcher,"b. 1700, Peterborough, d. 1766, Hammersmith"
"LEEMPUT, Remigius van",Flemish,painter,"b. 1607, Antwerpen, d. 1675, London"
"BLOCK, Benjamin",German,painter,"b. 1631, Lübeck, d. 1690, Regensburg"
"CASSANA, Giovanni Agostino",Italian,painter,"b. ca. 1658, Venezia d. 1720, Genova"
"HEMESSEN, Catharina van",Flemish,painter,"b. 1528, Antwerpen, d. ca. 1587, Antwerpen"
"LEBARBIER, Jean-Jacques-François",French,painter,"b. 1738, Rouen, d. 1826, Paris"
"GIJSBRECHTS, Cornelis Norbertus",Flemish,painter,"b. ca. 1630, Antwerpen, d. after 1675"
"BELLINI, Gentile","Italian painter, Venetian",school,"b. ca. 1429, Venezia, d. 1507, Venezia"
"LOON, Theodoor, van",Flemish,painter,"b. ca. 1581, Erkelenz, d. 1667, Leuven"
"CURRADI, Francesco",Italian,painter,"b. 1570, Firenze, d. 1661, Firenze"
"CAILLEBOTTE, Gustave",French,painter,"b. 1848, Paris, d. 1894, Gennevilliers"
"DEVIS, Arthur",English,painter,"b. 1712, Preston, d. 1787, Brighton"
"ULRICH, Caspar",Bohemian,die-cutter,active 1550-1575 in Sankt Joachimsthal
"LACROIX, Charles-François",French,painter,"b. ca. 1700, Marseille, d. 1782, Berlin"
"RAUCH, Christian Daniel",German,sculptor,"b. 1777, Arolsen, d. 1857, Dresden"
"TRINQUESSE, Louis-Rolland",French,painter,"b. 1745, Paris, d. ca. 1800"
"BENSO, Giulio",Italian,painter,"b. 1592, Pieve di Teco, d. 1668, Pieve di Teco"
"VERBURGH, Dionijs",Dutch,painter,"b. 1655, Rotterdam, d. 1722, Rotterdam"
"CRESPI, Giovanni Battista","Italian painter, Milanese",school,"b. ca. 1575, Cerano, d. 1632, Milano"
"MORRIS, William",English,designer,"b. 1834, Walthamstow, d. 1896, Hammersmith"
"COLLOT, Marie-Anne",French,sculptor,"b. 1748, Paris, d. 1821, Nancy"
"THORVALDSEN, Bertel",Danish,sculptor,"b. 1768/70, København, d. 1844, København"
"JÄRNEFELT, Eero",Finnish,painter,"b. 1863, Viipuri, d. 1937, Helsinki"
"BERRUGUETE, Alonso",Spanish,painter/sculptor,"b. 1488, Paredes de Nava, d. 1561, Valladolid"
BALDASSARE D' ESTE,"Italian painter, Ferrarese",school,"b. 1432, Reggio Emilia, d. 1506, Ferrara"
"LLANOS VALDÉS, Sebastián de",Spanish,painter,"b. ca. 1605, Sevilla, d. 1677, Sevilla"
"DAGNAN-BOUVERET, Pascal-Adolphe-Jean",French,painter,"b. 1852, Paris, d. 1929, Quincey"
"PONCE, Antonio",Spanish,painter,"b. 1608, Valladolid, d. 1677, Madrid"
"KNIP, Josephus Augustus",Dutch,painter,"b. 1777, Tilburg, d. 1847, Berlicum"
"FLÉMAL, Bertholet",Flemish,painter,"b. 1614, Liège, d. 1675, Liège"
"TROYON, Constant",French,painter,"b. 1810, Sèvres, d. 1865, Paris"
"RINCÓN DE FIGUEROA, Fernando del",Spanish,painter,active 1491-1518
"SOLIMENA, Francesco","Italian painter, Neapolitan",school,"b. 1657, Canale di Serino, d. 1747, Barra"
"ORSI, Lelio",Italian,painter,"b. 1511, Novellara, d. 1587, Novellara"
"POOL, Matthys",Dutch,printmaker,"b. 1676, Amsterdam, d. ca. 1732, Amsterdam"
"DESPORTES, Alexandre-François",French,painter,"b. 1661, Champigneulles, d. 1743, Paris"
"ROWLANDSON, Thomas",English,caricaturist,"b. 1756/57, London, d. 1827, London"
"VANDERBANK, John the Younger",English painter and,illustrator,"b. 1694, London, d. 1739, London"
"CERNOTTO, Stefano",Italian/Dalmatian,painter,active 1530-1542 in Venice
"BONVICINO, Ambrogio","Italian sculptor, Roman",school,c. 1552-1622
"MARTINCOURT, Étienne",French bronze,caster,"b. ca. 1735, Paris, d. after 1791, Paris"
"BOTH, Jan",Dutch,painter,"b. ca. 1618, Utrecht, d. 1652, Utrecht"
"BRIL, Paul",Flemish,painter,"b. 1554, Antwerpen, d. 1626, Roma"
MEMMO DI FILIPPUCCIO,Italian,painter,active 12881324
"ERRI, Agnolo degli",Italian,painter,active 1442-1497 in Modena
"LEMONNIER, Anicet-Charles-Gabriel",French,painter,"b. 1743, Rouen, d. 1824, Paris"
"VARIN, Quentin",French,painter,"b. ca. 1570, Beauvais, d. 1634, Paris"
"GASPARI, Antonio",Italian,architect,"b. ca. 1660, Veneto, d. after 1730, Castelguglielmo"
"VEYRIER, Christophe",French,sculptor,"b. 1637, Trets, d. 1689, Toulon"
BARTOLOMEO DI FRUOSINO,"Italian illuminator, Florentine",school,"b. ca. 1366, Firenze, d. 1441, Firenze"
"MAURER, Hubert",Austrian,painter,"b. 1759, Wien, d. 1812, Wien"
"STUCK, Franz von",German painter and decorative,artist,"b. 1863, Tettenweis, d. 1928, Tetschen"
"DOMENICHINI, Apollonio",Italian,painter,"b. 1715, Venezia, d. ca. 1770, Venezia"
"FERRUCCI, Francesco",Italian,craftsman,active 15891612 in Florence
"WITDOECK, Jan",Flemish,engraver,"b. 1615, Antwerpen, d. after 1642, Antwerpen"
PAOLO ROMANO,Italian,sculptor,"b. ca. 1415, Sezze, d. ca. 1470, Roma"
"ROSSI, Properzia de'",Italian,sculptor,"b. ca. 1490, Bologna, d. 1530, Bologna"
UGO DA CARPI,Italian,painter/woodcutter,c. 1480-c. 1523
"VUYSTINCK, Johannes",Netherlandish,goldsmith,active 1503-1523 in Utrecht
"BUTTERI, Giovanni Maria","Italian painter, Florentine",school,"b. ca. 1540, Firenze, d. ca. 1606, Firenze"
"VELDE, Peter van den",Flemish,painter,"b. 1634, Antwerpen, d. ca. 1714, Antwerpen"
"BOTTICINI, Raffaello","Italian painter, Florentine",school,"b. 1477, Firenze, d. ca. 1520, Firenze"
