Ime_slikarja,Narodnost,Smer,Letnice_kraj
"RUSCHI, Francesco",Italian,painter,"b. ca. 1610, Roma, d. 1661, Treviso"
"WITMONT, Heerman",Dutch marine,painter,"b. ca. 1605, Delft, d. 1684, Delft"
"KICKLINGER, Clement",German,goldsmith,"master 1561, died 1617, Augsburg"
"MAGNO, Giovanni Battista",Italian,painter,"b. ca. 1591, Modena, d. 1674, Roma"
"TEYLER, Johannes",Dutch,printmaker,"b. 1648, Nijmegen, d. before 1709, Nijmegen"
FIORENZO DI LORENZO,"Italian painter, Umbrian",school,"b. ca. 1445, Perugia, d. ca. 1522, Perugia"
"LAURANA, Luciano",Dalmatian,architect,"b. ca. 1420, Zara, d. 1479, Pesaro"
"CHIARI, Giuseppe Bartolomeo",Italian,painter,"b. 1654, Roma, d. 1727, Roma"
"TORELLI, Stefano",Italian,painter,"b. 1712, Bologna, d. 1784, St. Petersburg"
"GRECHE, Domenico dalle",Italian,painter,active 1543-1558 in Venice
"PAÁL, László",Hungarian,painter,"b. 1846, Zám, d. 1879, Charenton"
MASTER of the Pfullendorf Altar,German,painter,active c. 1500
"BERGH, Gillis Gillisz. de",Dutch,painter,"b. ca. 1600, Delft, d. 1669, Delft"
"CACCIANIGA, Francesco",Italian,painter,"b. 1700, Milano, d. 1781, Roma"
"SLAVONA, Maria",German,painter,"b. 1865, Lübeck, d. 1931, Berlin"
"HECKE, Jan van den",Flemish,painter,"b. 1619, Kwaremont, d. 1684, Antwerpen"
"BRUYN, Nicolaes de",Flemish,engraver,"b. 1571, Antwerpen, d. 1656, Rotterdam"
"BOSSCHE, Balthasar van den",Flemish,painter,"b. 1681, Antwerpen, d. 1715, Antwerpen"
"MAGGIOTTO, Domenico","Italian painter, Venetian",school,"b. 1712, Venezia, d. 1794, Venezia"
"MACHY, Pierre-Antoine de",French,painter,"b. 1723, Paris, d. 1807, Paris"
"BÉRAUD, Jean",French,painter,"b. 1849, St. Petersburg, d. 1935, Paris"
"RIDOLFI, Carlo",Italian,painter,"b. 1594, Lonigo, d. 1658, Venezia"
"MOR VAN DASHORST, Anthonis",Dutch,painter,"b. 1516/19, Utrecht, d. 1576/77, Antwerpen"
"CANOVA, Antonio",Italian,sculptor,"b. 1757, Possagno, d. 1822, Venezia"
"VOS, Jan de",Netherlandish goldsmith and,medalist,c. 1578-after 1626
"ALLEGRAIN, Etienne",French,painter,"b. 1644, Paris, d. 1736, Paris"
"VINNE, Vincent II Laurensz. van der","Dutch painter, Haarlem",school,"b. 1686, Haarlem, d. 1742, Haarlem"
"GALLOCHE, Louis",French,painter,"b. 1670, Paris, d. 1761, Paris"
"BEMBO, Benedetto",Italian,painter,active 1462-1489 in Cremona
"BISON, Giuseppe Bernardino",Italian,painter,"b. 1762, Palmanova, d. 1844, Milano"
"IRIARTE, Ignacio de",Spanish,painter,"b. 1621, Azcoitia, Guipúzcoa, d. 1670, Sevilla"
"CARAGLIO, Giovanni Jacopo",Italian,engraver,"b. 1500/05, Verona, d. 1565, Krakow"
"ANDREOLI, Giorgio",Italian,potter,"b. ca. 1465, Intra, d. 1553, Gubbio"
"SPAENDONCK, Gerard van",Dutch,painter,"b. 1746, Tilburg, d. 1822, Paris"
"STALBEMT, Adriaen van","Flemish painter, Antwerp",school,"b. 1580, Antwerpen, d. 1622, Antwerpen"
MASTER of the Trebon Altarpiece,Bohemian,painter,active in 1380-1400
"CABIANCA, Vincenzo",Italian,painter,"b. 1827, Verona, d. 1902, Roma"
"EGMONT, Justus van",Flemish painter and tapestry,designer,"b. 1601, Leiden, d. 1674, Antwerpen"
"WRIGHT, John Michael",English,painter,"b. 1617, London, d. 1694, London"
"STRADANUS, Johannes",Flemish,painter,"b. 1523, Brugge, d. 1605, Firenze"
"SCHWARZ, Hans",German,medalist,"b. 1492, Augsburg, d. after 1521, Augsburg"
"KRUG, Hans I",German,goldsmith,"b. ?, d. 1519, Nürnberg"
"KULMBACH, Hans Süss von",German,painter,"b. ca. 1480, Kulmbach, d. 1522, Nürnberg"
"KLOCKER, Hans",Austrian,wood-carver,active 1478-1500 in South Tyrol
"LA HIRE, Laurent de",French,painter,"b. 1606, Paris, d. 1656, Paris"
"GAUFFIER, Louis",French,painter,"b. 1762, Poitiers, d. 1801, Livorno"
"FABBRINI, Giuseppe Antonio",Italian,painter,"b. ca. 1740, Firenze, d. ca. 1795, Firenze"
GIOVANNI and PACIO DA FIRENZE,Italian,sculptors,documented 1343-1345
"VICTORS, Jan",Dutch,painter,"b. 1619, Amsterdam, d. 1676, East Indies"
"DUCHÉ DE VANCY, Gaspard ",French,painter,1756-1788
"BORRÁS, Fray Nicolás",Spanish,painter,"b. 1530, Cocentaina, d. 1610, Gandía"
"SMITH, George",English,painter,"b. ca. 1714, Chicester, d. 1776, Chichester"
BACCIO d'Agnolo,Italian sculptor and,architect,"b. 1462, Firenze, d. 1543, Firenze"
"VLEUGHELS, Nicolas",French,painter,"b. 1668, Paris, d. 1737, Roma"
"BENING, Simon",Flemish,illuminator,"b. 1483, Ghent, d. 1561, Bruges"
"KRØYER, Peter Severin",Danish,painter,"b. 1851, Stavanger, d. 1909, Skagen"
"COESERMANS, Johannes",Dutch,painter,active 1660s in Delft
TURINO VANNI,Italian,painter,"b. ca. 1348, Rigoli, d. after 1438, Pisa"
"SPAVENTO, Giorgio",Italian,architect,"b. ca. 1440, Venezia, d. 1509, Venezia"
"WOLGEMUT, Michael",German woodcut,designer,"b. 1434, Nürnberg, d. 1519, Nürnberg"
